Elapsed Time (s),CPU Usage (%),Memory (MB)
71.06,109.60,165.43
71.16,99.70,188.10
71.26,119.70,126.47
71.36,109.70,134.78
71.46,109.70,137.03
71.57,99.70,175.03
71.67,109.70,152.88
71.77,109.70,157.64
71.87,99.70,165.43
71.97,109.60,168.98
72.07,119.60,180.57
72.17,109.70,195.64
72.27,99.70,129.24
72.37,109.70,142.31
72.47,119.70,150.10
72.57,99.70,157.64
72.67,109.60,170.98
72.77,109.70,192.88
72.87,99.70,126.47
72.97,109.70,134.78
73.07,119.70,142.82
73.17,119.50,157.64
73.27,109.60,157.64
73.37,99.50,126.47
73.47,109.50,126.47
73.57,119.50,141.03
73.67,99.70,180.57
73.77,99.70,179.03
73.87,109.60,195.89
73.97,109.60,126.47
74.07,119.60,141.54
74.17,99.70,148.82
74.27,109.60,157.64
74.37,99.60,165.43
74.47,119.50,180.57
74.58,109.70,180.83
74.68,109.70,134.78
74.78,99.70,142.31
74.88,109.60,150.10
74.98,109.70,157.64
75.08,119.70,164.93
75.18,99.70,175.03
75.28,109.70,195.89
